title,year,genre,country,avg_vote
TÃ¶sen frÃ¥n Stormyrtorpet,1917,Drama,Sweden,6.7
Wild and Woolly,1917,"Comedy, Western, Romance",USA,6.4
Amarilly of Clothes-Line Alley,1918,"Comedy, Romance",USA,5.8
Az aranyember,1919,Drama,Hungary,5.9
Gli occhi della mummia,1918,"Drama, Horror",Germany,5.5
I proscritti,1918,Drama,Sweden,7.3
L'uccello blu,1918,"Family, Fantasy",USA,7
Broadway Love,1918,Romance,USA,6
Sangue gitano,1918,Drama,Germany,6
La decima sinfonia,1918,Drama,France,5.9
L'allegra prigione,1917,Comedy,Germany,6.2
The Forbidden City,1918,"Drama, Romance",USA,5.4
Cuori del mondo,1918,"Drama, War",USA,6.4
Indemoniato,1918,Western,USA,6.1
Johanna Enlists,1918,"Comedy, Romance",USA,5.1
M'Liss,1918,"Comedy, Drama",USA,6.5
The Married Virgin,1918,Drama,USA,5.2
Mickey,1918,"Comedy, Drama",USA,5.9
Old Wives for New,1918,Drama,USA,6.4
A Pair of Silk Stockings,1918,"Comedy, Romance",USA,4.4
A Romance of Happy Valley,1919,"Drama, Romance",USA,6.1
Shifting Sands,1918,Drama,USA,5.1
Charlot soldato,1918,"Comedy, War",USA,7.3
Stella Maris,1918,Drama,USA,6.7
Tarzan of the Apes,1918,"Action, Adventure",USA,5.7
Tih Minh,1918,"Adventure, Mystery",France,7
The Unbeliever,1918,"Drama, War",USA,5.9
The Whispering Chorus,1918,Drama,USA,6.8
Anders als die Andern,1919,"Crime, Drama, History",Germany,7
Ravished Armenia,1919,"Drama, History, Romance",USA,5.9
La principessa delle ostriche,1919,Comedy,Germany,7.2
El automÃ³vil gris,1919,"Action, Crime",Mexico,7.1
Il ritorno al paradiso terrestre,1919,"Adventure, Romance, Western",Canada,6.3
Behind the Door,1919,"Drama, Thriller, War",USA,7.1
Mariti ciechi,1919,"Drama, Romance",USA,7
Giglio infranto,1919,"Drama, Romance",USA,7.3
The Busher,1919,"Drama, Sport",USA,5.7
Daddy-Long-Legs,1919,"Comedy, Drama",USA,6.5
The Delicious Little Devil,1919,"Comedy, Drama",USA,5.9
Don't Change Your Husband,1919,Comedy,USA,6.6
Eyes of Youth,1919,Drama,USA,5.3
"For Better, for Worse",1919,Drama,USA,5.4
Getting Mary Married,1919,Comedy,USA,6.5
The Greatest Question,1919,Drama,USA,5.8
The Grim Game,1919,"Adventure, Drama",USA,6.8
Harakiri,1919,Drama,Germany,5.6
Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",USA,3.9
Heart o' the Hills,1919,"Drama, Romance",USA,5.6
Il tesoro di Arne,1919,"Drama, History",Sweden,7.3
The Hoodlum,1919,Comedy,USA,6.7
Non vorrei essere un uomo,1918,"Comedy, Romance",Germany,6.9
IngmarssÃ¶nerna,1919,Drama,Sweden,6.9
Per la patria,1919,"Drama, Horror, War",France,7.7
Il gabinetto del dottor Caligari,1920,"Fantasy, Horror, Mystery",Germany,8.1
Male and Female,1919,"Adventure, Drama",USA,7
Meyer il berlinese,1919,Comedy,Germany,6
The Miracle Man,1919,Drama,USA,6.6
The Mother and the Law,1919,Drama,USA,6.9
Die Pest in Florenz,1919,"Drama, History, Horror",Germany,6.3
PrÃ¦sidenten,1919,Drama,Denmark,6.6
La bambola di carne,1919,"Comedy, Fantasy",Germany,7.4
The Roaring Road,1919,"Comedy, Drama, Sport",USA,5.2
Scarlet Days,1919,"Adventure, Romance, Western",USA,4.9
The Sentimental Bloke,1919,"Drama, Romance",Australia,6.3
"Il lago d'oro, ovvero I ragni",1919,"Adventure, Western",Germany,6.6
Il canto del fiore rosso,1919,"Drama, Romance",Sweden,6.9
Amore sulle labbra,1919,"Comedy, Drama, Romance",USA,7
Un affare misterioso,1919,"Fantasy, Horror, Mystery",Germany,6.5
Victory,1919,"Drama, Romance",USA,6.6
Wagon Tracks,1919,Western,USA,6.7
Quando le nuvole volano via,1919,"Action, Comedy, Romance",USA,6.9
The Wicked Darling,1919,"Drama, Crime",USA,6.4
Yankee Doodle in Berlin,1919,Comedy,USA,5.5
Algol - TragÃ¶die der Macht,1920,"Fantasy, Sci-Fi",Germany,6.3
Anna Bolena,1920,"Biography, Drama, Romance",Germany,6.6
April Folly,1920,"Drama, Crime",USA,6.4
L'atlantide,1921,"Adventure, Fantasy, Mystery","France, Belgium",6.7
Pagine dal libro di Satana,1920,Drama,Denmark,6.7
Dr. Jekyll e Mr. Hyde,1920,"Drama, Horror, Sci-Fi",USA,7
Erotikon,1920,"Comedy, Romance",Sweden,6.6
Fante-Anne,1920,"Crime, Drama, Romance",Norway,6.2
The Flapper,1920,Comedy,USA,6.6
Il cammino nella notte,1921,Drama,"Germany, Denmark",6.4
Genuine,1920,Horror,Germany,6
Il Golem - Come venne al mondo,1920,"Fantasy, Horror",Germany,7.2
Headin' Home,1920,"Biography, Comedy, Drama",USA,5.1
L'Hirondelle et la MÃ©sange,1924,Drama,France,7.1
